Newman,Newman,Newman,Agr,Agr,Agr,Cap5D,Cap5D,Cap5D,Blank,Blank,Blank,Time
0.958599985,0.975899994,0.957799971,0.996900022,1.001399994,1.016100049,1.014400005,1.012500048,1.026000023,0.308800012,0.301600009,0.311199993,89
0.959699988,0.976499975,0.959599972,0.997900009,1.00150001,1.01639998,1.016000032,1.013700008,1.027099967,0.305700004,0.299100012,0.310799986,90
0.959999979,0.977500021,0.959699988,0.998399973,1.001899958,1.016499996,1.016100049,1.014799953,1.026900053,0.305999994,0.300399989,0.308899999,91
0.961600006,0.978200018,0.961000025,0.99849999,1.002300024,1.016700029,1.016899943,1.014099956,1.028100014,0.30399999,0.298200011,0.309199989,92
0.962000012,0.978699982,0.961199999,0.999100029,1.002400041,1.016800046,1.018700004,1.016000032,1.029099941,0.303600013,0.296999991,0.306899995,93
0.962000012,0.980499983,0.962700009,0.999499977,1.003200054,1.01639998,1.020200014,1.016100049,1.030200005,0.303200006,0.295700014,0.308099985,94
0.962300003,0.980599999,0.963199973,0.999899983,1.003499985,1.016499996,1.020099998,1.01639998,1.030200005,0.303200006,0.296400011,0.307200015,95
0.963199973,0.981400013,0.96390003,0.99970001,1.002900004,1.016600013,1.019799948,1.017500043,1.031299949,0.301899999,0.29519999,0.308200002,96
0.963,0.98119998,0.964299977,0.99970001,1.003100038,1.016499996,1.021000028,1.018000007,1.031100035,0.302700013,0.293199986,0.306699991,97
0.962599993,0.981100023,0.964100003,1,1.003499985,1.01699996,1.020900011,1.018599987,1.031700015,0.30219999,0.298500001,0.308299989,98
0.963699996,0.982200027,0.965799987,1.000399947,1.003299952,1.017400026,1.022699952,1.019299984,1.032999992,0.306100011,0.297800004,0.310299993,99
0.963400006,0.982900023,0.965600014,0.999499977,1.003399968,1.017099977,1.022500038,1.018900037,1.033100009,0.307399988,0.302100003,0.311100006,100
0.963999987,0.98269999,0.966000021,1.000100017,1.003700018,1.017099977,1.023000002,1.019999981,1.03489995,0.309899986,0.303600013,0.314999998,101
0.96450001,0.983500004,0.967299998,1.000499964,1.004099965,1.018700004,1.024099946,1.020699978,1.03610003,0.311500013,0.305099994,0.316199988,102
0.96420002,0.984000027,0.967700005,1.001199961,1.004699945,1.017500043,1.026800036,1.022099972,1.03579998,0.314999998,0.310400009,0.318899989,103
0.9648,0.985800028,0.967899978,1.00150001,1.005699992,1.018399954,1.02579999,1.022300005,1.037700057,0.316799998,0.31099999,0.320499986,104
0.966000021,0.986400008,0.969200015,1.002599955,1.006299973,1.019600034,1.028300047,1.023599982,1.039100051,0.319299996,0.314200014,0.323900014,105
0.967100024,0.987500012,0.970000029,1.002400041,1.006500006,1.020599961,1.027899981,1.025699973,1.040699959,0.322699994,0.317600012,0.327699989,106
0.968299985,0.988499999,0.971199989,1.003600001,1.008000016,1.021900058,1.029399991,1.02639997,1.042700052,0.325100005,0.3204,0.330900013,107
0.969500005,0.989199996,0.971300006,1.005100012,1.00909996,1.021800041,1.031700015,1.02820003,1.043300033,0.328299999,0.3213,0.33160001,108
0.970300019,0.990700006,0.972599983,1.005499959,1.010400057,1.023499966,1.032500029,1.029199958,1.043799996,0.32949999,0.324099988,0.334600002,109
0.971199989,0.991599977,0.973800004,1.006999969,1.011199951,1.024500012,1.035599947,1.030099988,1.045300007,0.332599998,0.328599989,0.336600006,110
0.972800016,0.991900027,0.973800004,1.007200003,1.011899948,1.024500012,1.037999988,1.031399965,1.047000051,0.333999991,0.328299999,0.337300003,111
0.972599983,0.992900014,0.975300014,1.008399963,1.013000011,1.024999976,1.03760004,1.033400059,1.047600031,0.335299999,0.330900013,0.342000008,112
0.97390002,0.994300008,0.976199985,1.009299994,1.014199972,1.025500059,1.039100051,1.03429997,1.049299955,0.337900013,0.334100008,0.341600001,113
0.974900007,0.995500028,0.976599991,1.01030004,1.015699983,1.02639997,1.041200042,1.037500024,1.051300049,0.338200003,0.335999995,0.342900008,114
0.976999998,0.996299982,0.976300001,1.010200024,1.016600013,1.02639997,1.042099953,1.037700057,1.051699996,0.342299998,0.3389,0.345999986,115
0.976899981,0.997399986,0.977599978,1.011299968,1.017400026,1.028100014,1.044700027,1.039899945,1.05250001,0.344099998,0.34009999,0.348100007,116
0.976899981,0.998199999,0.978200018,1.011800051,1.018300056,1.028800011,1.044199944,1.041900039,1.053900003,0.343800008,0.341699988,0.350800008,117
0.977299988,0.998700023,0.979499996,1.013100028,1.018700004,1.029000044,1.046000004,1.041200042,1.055699944,0.345600009,0.343699992,0.352999985,118
0.978200018,0.998899996,0.979200006,1.014000058,1.020200014,1.028599977,1.048200011,1.043400049,1.056699991,0.346399993,0.343300015,0.352800012,119
0.978799999,0.999000013,0.981000006,1.013800025,1.020300031,1.031000018,1.049000025,1.045799971,1.058899999,0.347600013,0.345499992,0.354499996,120
0.979700029,1.001299977,0.982500017,1.015100002,1.020900011,1.031100035,1.050699949,1.047899961,1.059299946,0.347600013,0.345899999,0.353799999,121
0.979300022,1.001700044,0.982200027,1.015400052,1.021900058,1.031399965,1.053900003,1.047700047,1.060700059,0.347900003,0.346599996,0.355199993,122
0.980000019,1.001399994,0.982299984,1.016100049,1.022199988,1.031200051,1.051800013,1.048400044,1.059800029,0.348500013,0.344500005,0.355199993,123
0.980199993,1.001199961,0.982599974,1.015900016,1.022400022,1.030900002,1.05400002,1.049000025,1.061300039,0.347799987,0.344500005,0.354799986,124
0.979200006,1.002200007,0.981899977,1.016100049,1.022600055,1.030599952,1.054499984,1.051100016,1.060700059,0.347000003,0.344700009,0.35589999,125
0.980199993,1.001199961,0.980400026,1.016000032,1.022899985,1.029600024,1.055400014,1.050600052,1.060799956,0.347200006,0.344199985,0.354000002,126
0.978999972,1.000399947,0.981000006,1.014999986,1.022199988,1.029199958,1.055299997,1.052099943,1.060899973,0.345099986,0.342799991,0.352600008,127
0.977299988,1.001899958,0.980499983,1.015300035,1.022400022,1.027699947,1.055199981,1.05219996,1.060400009,0.343199998,0.340999991,0.351999998,128
0.976000011,1.001299977,0.98089999,1.014899969,1.021399975,1.0273,1.055099964,1.051699996,1.060899973,0.342700005,0.339399993,0.349999994,129
0.976199985,0.999300003,0.978999972,1.013900042,1.020699978,1.02639997,1.056200027,1.051900029,1.060299993,0.3398,0.335900009,0.348100007,130
0.975399971,0.998099983,0.978200018,1.013700008,1.020799994,1.025099993,1.055500031,1.051699996,1.059800029,0.33950001,0.335999995,0.346100003,131
0.973800004,0.997900009,0.976899981,1.012699962,1.01970005,1.023800015,1.055600047,1.052800059,1.059499979,0.338400006,0.335599989,0.346500009,132
0.972599983,0.998700023,0.976899981,1.011700034,1.019000053,1.021999955,1.055600047,1.052899957,1.059499979,0.337000012,0.334399998,0.343199998,133
0.971599996,0.996200025,0.975499988,1.010900021,1.017699957,1.020799994,1.055999994,1.053300023,1.059599996,0.335700005,0.332899988,0.343199998,134
0.969299972,0.996200025,0.975199997,1.010599971,1.016800046,1.020099998,1.055500031,1.052299976,1.059100032,0.336199999,0.33070001,0.340299994,135
0.970399976,0.995299995,0.973800004,1.00880003,1.01699996,1.018300056,1.056300044,1.053900003,1.059000015,0.333299994,0.328500003,0.339100003,136
0.967299998,0.992699981,0.971499979,1.008000016,1.015499949,1.017099977,1.05490005,1.052600026,1.057800055,0.33070001,0.328799993,0.337799996,137
0.964699984,0.993200004,0.970000029,1.006500006,1.014899969,1.015100002,1.054399967,1.052700043,1.057899952,0.33160001,0.328999996,0.339700013,138
0.964900017,0.993900001,0.968500018,1.005900025,1.014899969,1.013599992,1.053599954,1.054100037,1.056900024,0.329899997,0.327600002,0.338200003,139
0.963800013,0.991100013,0.971000016,1.006100059,1.014099956,1.013100028,1.055999994,1.05369997,1.057999969,0.33070001,0.327199996,0.337099999,140
0.959999979,0.991100013,0.967199981,1.004999995,1.013599992,1.011100054,1.055699944,1.05340004,1.057199955,0.3301,0.327899992,0.335500002,141
0.961099982,0.990400016,0.965200007,1.002400041,1.012400031,1.009199977,1.054299951,1.052999973,1.056699991,0.327300012,0.325100005,0.336400002,142
0.957400024,0.988399982,0.966600001,1.002799988,1.011500001,1.008100033,1.054399967,1.053599954,1.057100058,0.327800006,0.324999988,0.333900005,143
0.956499994,0.987500012,0.964600027,1.001000047,1.011500001,1.006800056,1.0546,1.053500056,1.055999994,0.327100009,0.324900001,0.335700005,144
0.955600023,0.986500025,0.963100016,0.99879998,1.00999999,1.005499959,1.052899957,1.053300023,1.055899978,0.324900001,0.322299987,0.333600014,145
0.952600002,0.984600008,0.960399985,0.998300016,1.008700013,1.003600001,1.053799987,1.052899957,1.055500031,0.324499995,0.32249999,0.333099991,146
0.950399995,0.983399987,0.958800018,0.996299982,1.008000016,1.002200007,1.052299976,1.052800059,1.053200006,0.3222,0.323300004,0.332800001,147
0.948599994,0.984499991,0.958299994,0.994799972,1.007400036,1.000499964,1.051300049,1.050999999,1.05340004,0.322600007,0.321200013,0.331900001,148
0.94569999,0.98119998,0.954999983,0.993300021,1.004899979,0.99879998,1.050799966,1.051800013,1.05309999,0.326599985,0.323100001,0.332100004,149
0.9454,0.980199993,0.954100013,0.993700027,1.004299998,0.997500002,1.051900029,1.051699996,1.052299976,0.325399995,0.32280001,0.335200012,150
0.940599978,0.978399992,0.951799989,0.990700006,1.003499985,0.995299995,1.050699949,1.051900029,1.05219996,0.327600002,0.324900001,0.335200012,151
0.938799977,0.976400018,0.949100018,0.989400029,1.002300024,0.993700027,1.050600052,1.050899982,1.051200032,0.330799997,0.329299986,0.336600006,152
0.93779999,0.975000024,0.950100005,0.987699986,1.000499964,0.993300021,1.049499989,1.050999999,1.050899982,0.333400011,0.32949999,0.340700001,153
0.936699986,0.974600017,0.947000027,0.987299979,1.000499964,0.991699994,1.050600052,1.051499963,1.050799966,0.336100012,0.333999991,0.344599992,154
0.934199989,0.971800029,0.944899976,0.986299992,0.999499977,0.989899993,1.049900055,1.051399946,1.050400019,0.340200007,0.335200012,0.343899995,155
0.931500018,0.971400023,0.944000006,0.985400021,0.997699976,0.990400016,1.050799966,1.051399946,1.051300049,0.341600001,0.340799987,0.348100007,156
0.930499971,0.969900012,0.942300022,0.984700024,0.998199999,0.989199996,1.050099969,1.051499963,1.050099969,0.347000003,0.341500014,0.349299997,157
0.928600013,0.968900025,0.940800011,0.984200001,0.998300016,0.987800002,1.051200032,1.051699996,1.050999999,0.347900003,0.344199985,0.352100015,158
0.926800013,0.967999995,0.938799977,0.982800007,0.997500002,0.986999989,1.050500035,1.05250001,1.050600052,0.352200001,0.348800004,0.357600003,159
0.925499976,0.967000008,0.937099993,0.98299998,0.996299982,0.985199988,1.051699996,1.05309999,1.050199986,0.352600008,0.34920001,0.358500004,160
0.923099995,0.965600014,0.935199976,0.981700003,0.996599972,0.984399974,1.051900029,1.053599954,1.049000025,0.355800003,0.352100015,0.361999989,161
0.922999978,0.963199973,0.933799982,0.981000006,0.994400024,0.98269999,1.051200032,1.05400002,1.047700047,0.359400004,0.354299992,0.362199992,162
0.920099974,0.963800013,0.932500005,0.979799986,0.995299995,0.981599987,1.050999999,1.054499984,1.047399998,0.361200005,0.357300013,0.366100013,163
0.919200003,0.959800005,0.930700004,0.978399992,0.995299995,0.980599999,1.049499989,1.054800034,1.046599984,0.362500012,0.3574,0.367300004,164
0.918500006,0.959399998,0.927699983,0.978999972,0.993900001,0.978600025,1.051900029,1.055799961,1.045600057,0.36469999,0.359699994,0.368499994,165
0.916100025,0.957499981,0.926100016,0.976300001,0.992200017,0.977900028,1.049700022,1.055600047,1.045099974,0.368299991,0.360799998,0.372599989,166
0.915600002,0.958199978,0.925100029,0.975899994,0.992399991,0.976199985,1.050600052,1.055899978,1.04550004,0.370900005,0.363200009,0.373400003,167
0.912299991,0.953199983,0.922900021,0.974099994,0.9921,0.974099994,1.050099969,1.056699991,1.044499993,0.371199995,0.366100013,0.372200012,168
0.912,0.953199983,0.922500014,0.972899973,0.990800023,0.97420001,1.049100041,1.056300044,1.045099974,0.372000009,0.3662,0.376700014,169
0.9102,0.950900018,0.918099999,0.971599996,0.990199983,0.970300019,1.049399972,1.056599975,1.043099999,0.373400003,0.368999988,0.376899987,170
0.907199979,0.949000001,0.916899979,0.969799995,0.989400029,0.967999995,1.04519999,1.057399988,1.042400002,0.372999996,0.370200008,0.378800005,171
0.904100001,0.946200013,0.915099978,0.969399989,0.987399995,0.966000021,1.045099974,1.057399988,1.041900039,0.377099991,0.371699989,0.380699992,172
0.9023,0.945100009,0.911800027,0.967199981,0.986199975,0.962899983,1.044399977,1.056399941,1.039299965,0.374599993,0.370900005,0.379000008,173
0.899200022,0.941900015,0.908299983,0.964299977,0.984700024,0.960699975,1.042500019,1.056900024,1.036599994,0.372399986,0.372299999,0.378600001,174
0.893100023,0.939999998,0.905499995,0.962100029,0.981999993,0.957400024,1.042400002,1.056200027,1.036299944,0.371399999,0.371100008,0.376700014,175
0.890600026,0.936600029,0.901899993,0.958999991,0.979600012,0.952700019,1.038599968,1.05369997,1.033100009,0.369100004,0.367599994,0.375400007,176
0.887700021,0.934000015,0.898400009,0.956499994,0.977999985,0.949000001,1.037799954,1.053500056,1.032099962,0.370400012,0.367500007,0.37529999,177
